"ISO_A3","Country_Name","population_WDI","esperance_vie_hom","esperance_vie_fem","pop_0a14_pcent","pop_15a64_pcent","densite_pop","tx_mortalite_p1000","tx_fertilite","pop_rurale_pcent","imports_pcentGDP","exports_pcentGDP","dette_totale","aide_dvpt_pcentGDI","immigration","pop_refugies","transport_aerien","traffic_containers","PIB_par_habitant","PIB_pays","pauvrete_seuil_nat_pcentpop","pauvrete_5.50usd_pcentpop","GINI_index","taux_emploi_pcent","emploi_agric_pcentemploi","ratio_F_H_emploi","depense_recherche_pcentPIB","articles_scient","depense_milit_pcentPIB","surface_agri_pcent","surface_foret_pcent","zones_terr_protegees_pcent","pop_urbaine_pcent","pop_urb_1M_pcent","ressource_eau_pcapita","emissions_CO2","pop_expo_partic_fine_pcent","pop_diabete_pcent","mortalite_maladies_pcent","mortalite_infant_0a5","medecins_p1000","lits_hopital_p1000","depense_educ_pcentPIB","taux_scolarisation_pcent","taux_reussite_primaire_pcent","indice_parite_ecole","pop_rurale_sanitaire_pcent","acces_electricite_pcent","tourisme_internat_pcentexport","apport_nrj_alim_pcentbesoin","preval_obesite_adult_pcent","age_median","indice_dvpt_humain","ventes_PUT_kg_percapita","groupe_economie_pays","groupe_PIB_pays","continent","region_ONU","sous_region","region_WB","Long","Lat","temp_dec19","temp_jan20","temp_fev20","temp_mar20","temp_mean","population","cumul_tests","cumul_tests_p_million","type_test","AUC_SI","date_SI_sup0","date_SI_sup50","date_SI_max","SI_max","residential_change","residential_date_split","mobility_change_index","mobility_change_index_date_split","confirmed_30avr","deaths_30avr","recovered_30avr","confirmed_p_million","deaths_p_million","recovered_p_million","b_confirmed","Asym_confirmed","xmid_confirmed","b_deaths","Asym_deaths","xmid_deaths","b_recovered","Asym_recovered","xmid_recovered","date_first_cases","days_since_first_cases"
"GUF","French Guiana","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.466,"NA","NA","NA","NA","NA","NA","NA",-53.09714,4.097024,26.1700073242188,25.860009765625,25.589990234375,26.2600036621094,25.9700027465821,298682,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",126,1,94,421.853342350728,3.34804239960895,314.715985563241,0.061603357482977,143.198924824777,18354.3216089155,0.023330792402509,0.239393640383474,18300.5979852998,0.068449847721651,129.16706692536,18364.2791163889,"2020-03-07",54
"GUY","Guyana",779004,66.8,73,28.2,65.3,4,7.5,2.5,73.4,46.2,40.4,"NA",2.7,-30001,283,26069,122480,8420,3878662620.77146,"NA","NA","NA",56.2,17.1,64.2,"NA",13.7,1.7,8.6,83.9,8.7,26.6,"NA",315701,2.6,100,11.6,30.5,30.1,0.8,"NA",6.1,"NA","NA","NA",83.7,90.9,1.8,119,19.2,26.2,0.461,"NA","6. Developing region","4. Lower middle income","South America","Americas","South America","Latin America & Caribbean",-58.9562561356274,4.86249501550009,27.1899963378906,27.0200134277344,27.4800048828125,28.4200073242188,27.5275054931641,786559,"NA","NA","NA",3636.9,-54,14,28,93.38,"NA","NA","NA","NA",82,9,22,104.251556463024,11.4422440020393,27.9699297827626,0.060428465903051,111.031174551339,18362.4638370189,0.081156712454082,8.96722789393926,18354.4932226646,0.044283737403341,38.0059290180661,18377.6201812756,"2020-03-12",49
"HND","Honduras",9587522,72.8,77.4,31.7,63.6,85.7,4.4,2.5,42.9,57.9,43.4,24,3,-34000,18860,411989,976200,4790,23969890430.7882,48.3,52.6,50.5,68.8,30.3,60.5,0,45.1,1.7,28.9,40,23.9,57.1,14.1,10123,1.1,100,7.3,14,17.6,0.61,0.7,"NA",91.5,81.6,1.1,76,86.5,10.2,119,19.4,23,0.67,"NA","6. Developing region","4. Lower middle income","North America","Americas","Central America","Latin America & Caribbean",-87.2304544066036,14.5046584065,20.7199951171875,20.4200073242188,21.1499877929688,21.3999877929688,20.922494506836,9904608,"NA","NA","NA","NA",38,38,38,100,26.0989247311828,5,69.5600685678666,5,771,71,79,77.8425557074041,7.16838061637573,7.97608547455891,0.052800329928148,1035.6758207325,18364.4355917017,0.049048366582113,128.222072737238,18372.7588311874,0.161588747152362,115.609322774114,18374.8215546117,"2020-03-11",50
"HRV","Croatia",4087843,74.9,81.4,14.5,65,73.1,12.9,1.5,43.1,49.4,50,"NA","NA",-40004,24107,2093577,264500,27180,60971699315.1776,"NA",3.8,30.4,51.2,6,79.1,0.9,4276.9,1.5,27.6,34.4,38.3,56.9,23.7,8895,4,100,5.4,16.7,4.7,3,5.9,"NA",96.5,95.5,1,94.8,100,38.6,125,27.1,43,0.503,"NA","2. Developed region: nonG7","2. High income: nonOECD","Europe","Europe","Southern Europe","Europe & Central Asia",15.3215802577481,44.7451242095,5.98000488281252,4.54000244140627,6.27999267578127,5.5200134277344,5.58000335693362,4105268,38084,9276.86085293335,"people tested",4389.875,-29,24,27,97.35,18.2150537634409,20,54.5351739627056,21,2076,69,1348,505.691711235418,16.8076724832581,328.358587064231,0.088232684850027,2233.69228530161,18351.6286010134,0.052249197313623,124.208246818865,18372.7177334459,0.051264854916879,3312.86687353293,18379.8639947909,"2020-02-25",65
"HTI","Haiti",11123176,61.5,65.8,33.2,61.8,403.6,8.5,2.9,44.7,56.5,18.8,1.2,10.2,-175000,27531,"NA",196135,1880,9658721168.86849,"NA","NA","NA",67.2,28.7,85,"NA",29.2,0,66.8,3.5,1.9,55.3,18,1233,0.3,100,6.7,26.5,64.8,0.23,0.7,2.4,"NA","NA","NA",23.9,43.8,34.9,91,20.5,23,0.623,"NA","7. Least developed region","5. Low income","North America","Americas","Caribbean","Latin America & Caribbean",-72.2834233883898,18.9820466110001,25.4999938964844,24.6700073242188,25.589990234375,25.1199890136719,25.2199951171875,11402533,"NA","NA","NA","NA","NA","NA","NA","NA",7.4,1,26.1372906369248,0.5,81,8,8,7.10368476898949,0.701598495702665,0.701598495702665,0.037495886365318,201.178145743673,18378.7756355868,0.047190881807319,18.1826404979151,18381.1638571053,0.549120693846705,8.72687894873922,18375.7157666152,"2020-03-20",41
"HUN","Hungary",9775564,72.5,79.3,14.4,66.4,107.9,13.4,1.5,28.6,79.9,87.1,"NA","NA",29999,3927,31226848,"NA",29860,157882912778.254,"NA",3,30.6,56.5,4.7,74,1.3,6700.9,1.1,58.4,22.9,22.6,71.4,23.4,608,4.3,100,6.9,23,4.3,3.23,7,4.7,100.8,105.1,1,98.6,100,7.2,126,28.6,42.3,0.845,99.2,"2. Developed region: nonG7","1. High income: OECD","Europe","Europe","Eastern Europe","Europe & Central Asia",19.1191922893949,47.1579882815001,4.14998779296877,0.350000000000023,6.6199890136719,7.79000244140627,4.72749481201174,9660350,82010,8489.34044832744,"tests performed",3557.34,-5,7,24,78.44,16.7855072463768,11,45.172380720672,11,2775,312,581,287.256672894874,32.2969664660183,60.1427484511431,0.049559156563859,4775.12714591634,18369.0944874432,0.068308004825597,508.639003475181,18371.1735492888,0.024465308975556,9379.35445056119,18423.2557856244,"2020-03-04",57
"IDN","Indonesia",267663435,69.4,73.7,26.6,67.6,147.8,6.5,2.3,44.7,19.2,20.2,29.4,0.1,-494777,12157,115154100.9,12853000,12670,1042173300625.55,9.8,58.7,39.4,67.5,28.6,64.8,0.2,26947.6,0.7,31.5,49.9,12.2,55.3,13.2,7914,1.8,96,6.3,26.4,25,0.38,"NA","NA",105.9,100.8,1,64.5,98.1,7.5,126,6.9,30.2,0.938,"NA","4. Emerging region: MIKT","4. Lower middle income","Asia","Asia","South-Eastern Asia","East Asia & Pacific",113.325229758336,0.104905503000055,23.339990234375,23.35,23.4299865722656,23.6199890136719,23.4349914550781,273523621,83012,303.491156253741,"people tested",3718.61,-47,14,53,73.56,14.3967582804792,16,37.4811628875269,17.5,10118,792,1522,36.9913207605569,2.89554517121576,5.56441887700807,0.039313335248021,24123.3457039685,18378.1233149145,0.049475306717085,1423.07056382229,18369.7726615652,0.030864412374885,9663.3297958319,18402.5832647604,"2020-03-02",59
"IMN","Isle of Man",84077,"NA","NA","NA","NA",147.5,"NA","NA",47.4,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",69.8,6.1,3.7,52.6,15.4,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",100,"NA","NA","NA",44.2,0.647,6.7,"2. Developed region: nonG7","2. High income: nonOECD","Europe","Europe","Northern Europe","Europe & Central Asia",-4.50997061731032,54.2386538760001,7.17000732421877,7.30999145507815,6.42000732421877,6.52999267578127,6.85749969482424,85032,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",315,21,260,3704.48772226926,246.965848151284,3057.67240568257,0.1227894165319,338.039103201032,18356.2616380667,0.163787740329198,27.2093256223741,18372.1432880837,0.129734912245007,278.363153826813,18362.9556644858,"2020-03-20",41
"IND","India",1352617328,68.2,70.7,27.1,66.8,454.9,7.2,2.2,66,22,18.8,10.1,0.1,-2663434,9602,164035637.5,16382600,7680,2718732231257.57,"NA","NA","NA",49.3,42.4,27,"NA",135787.8,2.4,60.4,23.8,6,34,"NA",1116,1.7,100,10.4,23.3,36.6,0.76,"NA","NA",113,94.4,1.1,53.2,92.6,5.4,109,3.8,28.1,0.707,23.8,"3. Emerging region: BRIC","4. Lower middle income","Asia","Asia","Southern Asia","South Asia",80.2265066120594,21.7867495790001,20.3699890136719,19.9200073242188,21.7000061035156,26.339990234375,22.0824981689453,1380004385,1046450,758.294691940417,"samples tested",4282.285,-4,48,52,100,26.3805555555556,51,67.2716666666667,51,34863,1154,9068,25.26296320428,0.836229226909304,6.57099361318334,0.040926678147566,118070.374516965,18386.947498424,0.043562614272725,3402.92829189612,18384.5360883658,0.047521389295439,47252.1359727632,18392.4130846137,"2020-01-30",91
"IRL","Ireland",4867309,80.9,84.4,21.4,64.7,70.5,6.4,1.8,36.8,99,121,"NA","NA",118020,4,167598633,988000,67050,382487490532.479,"NA","NA","NA",62.1,4.6,81.9,1,7174.1,0.3,64.5,11,14.4,63.2,26,10520,7.3,0,3.2,10.3,3.7,2.95,2.8,3.7,100.9,"NA",1,94.3,100,3.1,147,26.9,36.8,0.797,59.7,"2. Developed region: nonG7","1. High income: OECD","Europe","Europe","Northern Europe","Europe & Central Asia",-7.95824197237397,53.4160627300001,6.08999023437502,6.14998779296877,5.71999511718752,6.42000732421877,6.09499511718752,4937796,153054,30996.4202652357,"units unclear",3665.375,-25,15,37,87.83,23.6985507246377,15,52.9740581150646,15.5,20612,1232,13386,4174.3320299178,249.504029733104,2710.92608929166,0.058160368103065,32302.3270451719,18366.930755938,0.041157104132132,4279.48725940838,18386.5354631632,3.78365310878808,10163.4633360715,18372.394428456,"2020-02-29",61
"IRN","Iran, Islamic Rep.",81800269,75.4,77.7,24.5,69.3,50.2,4.8,2.1,25.1,23.8,24.9,0.4,"NA",-274998,129940,25604871.4,2378600,"NA","NA","NA",10.9,40.8,44.7,17.9,24.5,0.8,48305.6,2.7,28.2,6.6,8.6,74.9,25.1,1659,8.4,100,9.6,14.8,14.4,"NA",1.5,3.4,110.7,99.4,1,78.8,100,"NA",131,25.5,30.3,0.689,"NA","5. Emerging region: G20","3. Upper middle income","Asia","Asia","Southern Asia","Middle East & North Africa",54.0755796301338,32.4216655480001,8.3699890136719,5.14998779296877,10.0299926757813,12.4900146484375,9.00999603271487,83992953,"NA","NA","NA",3019.565,1,32,46,65.34,"NA","NA","NA","NA",94640,6028,75103,1126.76119388254,71.7679255782327,894.158346831787,0.055075072803517,114153.069672088,18350.7805235542,0.057922578825203,6904.84836362312,18349.5051543843,0.048958266869945,122976.452752733,18366.1339980418,"2020-02-19",71
"IRQ","Iraq",38433600,68.4,72.5,38.4,58.3,88.5,4.8,3.7,29.5,35.6,38.1,"NA",1,39171,372342,2075065.8,"NA",17210,224228010477.889,"NA","NA","NA",43,18.1,15.7,0,6073.4,2.7,21.4,1.9,1.5,70.5,"NA",1023,4.9,100,8.8,21.3,26.7,0.84,1.3,"NA","NA","NA","NA",88,100,2.2,109,27.4,20,0.942,187.8,"6. Developing region","4. Lower middle income","Asia","Asia","Western Asia","Middle East & North Africa",42.4921070519463,33.2214487715001,12.6799865722656,10.2099853515625,12.360009765625,17.7099853515625,13.2399917602539,40222503,"NA","NA","NA",4801.085,-3,3,31,91.4,14.7698863636364,22,53.3133890986471,20,2085,93,1375,51.8366547203688,2.31213855587257,34.1848442400514,0.060232469352474,2379.77546848774,18355.6981735777,0.077763922121134,96.9696513474954,18347.4216724329,0.067752987741402,1932.0511195118,18365.2303967896,"2020-02-24",66
"ISL","Iceland",352721,81.1,84.3,19.8,65.4,3.5,6.4,1.7,6.2,42,46.1,"NA","NA",1900,4,7819740.6,352300,55190,25878475760.1131,"NA","NA","NA",75,3.9,89.4,2.1,680.9,"NA",18.7,0.5,18.2,93.8,57.9,519265,6.1,10,5.8,9.1,2,3.89,3.2,7.5,100.4,"NA",1,100,100,25.6,137,23.1,36.5,"NA","NA","2. Developed region: nonG7","1. High income: OECD","Europe","Europe","Northern Europe","Europe & Central Asia",-18.4676482726456,64.9647077495,-2.63999023437498,-2.64999999999998,-2.91000976562498,-2.47000732421873,-2.66750183105466,341250,50436,147797.802197802,"samples tested",3044.385,-36,17,50,56.61,"NA","NA","NA","NA",1797,10,1670,5265.93406593407,29.3040293040293,4893.77289377289,0.113120243562041,1866.01784012501,18344.8951451786,0.082439379830935,11.9354365357212,18355.4366574553,0.088672467629955,2017.86059564855,18361.6918750429,"2020-02-28",62
"ISR","Israel",8882800,80.9,84.8,27.9,60.1,410.5,5,3.1,7.6,27.5,28.7,"NA","NA",50002,502,7404373,2946000,39940,370587977153.583,"NA","NA","NA",64,0.9,87.1,4.5,12234.7,4.3,24.6,7.7,19.9,92.4,18.7,91,7.9,100,9.7,9.6,3.7,3.22,3.1,5.8,104.9,105.6,1,100,100,7.4,160,26.7,29.9,0.906,165.4,"2. Developed region: nonG7","1. High income: OECD","Asia","Asia","Western Asia","Middle East & North Africa",34.6627193143303,31.4461644085,16.089990234375,12.9299865722656,14.4599853515625,17.6899963378906,15.2924896240235,8655541,399519,46157.6000853095,"tests performed",4704.065,-25,21,47,96.03,24.4086573734409,22,61.0011370126975,23,15946,222,8561,1842.28807881564,25.6483101402905,989.077401401022,0.090174609771002,17044.9956079857,18353.8133900556,0.089045879930894,263.110632088042,18362.4594105255,0.054378333134414,23394.721490034,18381.8875461071,"2020-02-21",69
"ITA","Italy",60421760,80.8,85.2,13.3,63.9,205.5,10.5,1.3,29.6,27.9,30.8,"NA","NA",744713,69,27630435.6,10547112,42290,2083864259622.65,"NA",3.2,35.9,49.6,3.7,69.1,1.4,71240.3,1.3,43.2,31.8,21.5,70.4,"NA",3002,5.3,95,5,9.5,3,4.03,"NA",3.8,101.9,98.8,1,98.6,100,7.9,144,22.9,45.5,0.883,113.3,"1. Developed region: G7","1. High income: OECD","Europe","Europe","Southern Europe","Europe & Central Asia",12.6920345894384,42.4924867885001,9.4999938964844,7.70000610351565,9.05001220703127,8.5200134277344,8.69250640869143,60461828,2153772,35622.0126192678,"tests performed",5851.27,-8,23,72,94.58,25.1607843137255,39,69.2415069104565,39,205463,27967,75945,3398.22672910253,462.556309081492,1256.08177113004,0.063432883854892,227456.221198537,18348.1092135207,0.065655856221382,31579.6366101677,18351.5141755103,0.028178048304844,248765.446768575,18388.684195645,"2020-01-31",90
"JAM","Jamaica",2934855,72.8,76,23.8,67.5,271,7.6,2,44.3,48.9,34.7,27,0.7,-56658,2453,180951.3,1833100,8900,15713908816.1463,"NA","NA","NA",66,15.9,82.5,"NA",163.9,1.4,41,30.9,15.9,55.7,20.7,3763,2.6,100,11.3,14.7,14.4,0.46,1.7,5.3,89.8,87.5,1,89.5,99.5,53.4,114,24.4,26,0.726,"NA","6. Developing region","3. Upper middle income","North America","Americas","Caribbean","Latin America & Caribbean",-77.1758260188891,18.1191470395001,26.2700134277344,25.4500061035156,25.9800048828125,25.7199951171875,25.8550048828125,2961161,"NA","NA","NA",4090.48,-40,2,42,82.14,18.4449275362319,4,44.6025901906397,3.5,422,8,29,142.511670253661,2.70164303798409,9.79345601269232,0.008753488461729,3369450.19310557,18632.2523675832,0.047542240422771,11.4672719608209,18364.3235488446,0.131198443053488,32.0699184035115,18360.8110559607,"2020-03-11",50
"JOR","Jordan",9956011,72.7,76.2,34.2,61.9,112.1,3.9,2.8,9,56.4,35.1,12.4,6,51099,2442,3383805,815345,9430,42231295774.6479,"NA","NA","NA",39.3,3.1,22.6,"NA",2627.3,4.7,12,1.1,1.8,91,64.6,76,3,100,12.7,19.2,16.2,1.41,1.8,3.8,80.8,71.3,1,96.3,100,41.3,114,33.4,22.5,0.915,199.3,"6. Developing region","3. Upper middle income","Asia","Asia","Western Asia","Middle East & North Africa",36.2997048693305,31.2698495490001,10.8300109863281,7.5100036621094,9.1299987792969,13.1799865722656,10.1625,10203140,"NA","NA","NA",4057.12,0,15,15,100,24.5653409090909,14,71.1833336753508,14,453,8,362,44.3980970563964,0.784072354196845,35.4792740274072,0.113448553778834,447.932017730803,18345.6570550045,0.263726894538985,7.12195086131337,18349.9735411578,0.108179249006512,389.218424147753,18360.0944665942,"2020-03-03",58
"JPN","Japan",126529100,81.3,87.3,12.7,59.7,347.1,11,1.4,8.4,16.8,17.8,"NA","NA",357800,48,126387527,22433824,44380,4971323079771.87,"NA","NA","NA",61.7,3.4,74,3.2,98792.5,0.9,12.3,68.5,29.4,91.6,15.9,3378,9.5,77,5.6,8.4,2.5,2.41,"NA",3.2,"NA","NA","NA","NA",100,4.9,114,4.4,47.3,0.723,"NA","1. Developed region: G7","1. High income: OECD","Asia","Asia","Eastern Asia","East Asia & Pacific",143.337654659044,43.4621239275,-4.94000854492185,-7.2299865722656,-6.8800109863281,-0.919989013671852,-4.99249877929685,126476458,294337,2327.20780336843,"tests performed",3347.25,-15,72,72,51.18,9.19524200164069,76,18.1240143602884,76,14088,430,2460,111.388318607088,3.39984220620726,19.4502600634183,0.048464423950967,27066.3343167098,18370.9019095208,0.00611676522516,15861731.37435,18765.5926982991,0.004598936515367,494725093.643157,18927.6902777857,"2020-01-22",99
"KAZ","Kazakhstan",18272430,68.8,77.2,28.5,64.1,6.8,7.1,2.8,42.6,25.6,33.6,49.7,0,-90000,2529,7143797,"NA",24450,179339994859.384,"NA",8.6,27.5,68.8,15.8,83,0.1,2367.5,1,80.4,1.2,3.3,57.4,10.9,3722,14.4,87,6.1,26.8,9.9,"NA",6.7,3,108.7,109.7,1,99,100,4,138,21.3,30.6,0.817,86,"6. Developing region","3. Upper middle income","Asia","Asia","Central Asia","Europe & Central Asia",66.3258992299368,48.0108690390001,-6.07001342773435,-8.32001342773435,-5.88999023437498,0.290002441406273,-4.99750366210935,18776707,296136,15771.4555592735,"tests performed",3306.38,-1,5,17,84.14,16.6729036729037,9,49.4699293788426,8,3402,25,866,181.181929291435,1.33143687016046,46.1209731823583,0.028161617781994,20383.4635729254,18402.9127822569,0.07639449071626,34.7851726697509,18365.3052265384,0.087961313578872,1359.30399445861,18373.4428415433,"2020-03-13",48
"KEN","Kenya",51393010,64,68.7,39.8,57.9,90.3,5.5,3.5,73,24.2,13.3,14.6,2.9,-50000,7489,5935831.1,1300000,3440,87908262519.9164,"NA","NA","NA",74.7,54.4,93.3,"NA",1246.8,1.2,48.5,7.8,12.4,27,"NA",443,0.3,100,3.1,13.4,41.1,"NA","NA",5.4,"NA","NA","NA",27,63.8,15,98,6,19.7,0.579,11.9,"5. Emerging region: G20","5. Low income","Africa","Africa","Eastern Africa","Sub-Saharan Africa",37.447921283846,0.154823710000095,17.5500122070313,17.9399963378906,18.4699951171875,19.0100036621094,18.2425018310547,53771300,23780,442.243352866678,"units unclear",3797.35,-53,2,33,91.54,20.6895356895357,9,39.8600719513219,8.5,396,17,144,7.3645234539615,0.316153784639761,2.67800852871327,0.059668861202707,530.819325816917,18363.2889005491,0.100096306837522,17.4516836788304,18360.4424053645,0.063515842970789,284.254075577304,18377.2654196486,"2020-03-13",48
"KGZ","Kyrgyz Republic",6322800,67.4,75.6,32.4,63.2,32.9,5.2,3.3,63.6,66.4,34.3,30.2,5.2,-20000,2942,709198.9,"NA",3780,8092836608.78875,22.4,66.4,27.3,59.8,21.2,59.1,0.1,137.1,1.6,55,3.3,6.7,36.4,12,8385,1.6,97,6.1,24.9,18.9,"NA",4.5,6.6,107,101.6,1,99.2,100,18.7,120,15.4,26.5,0.906,82.5,"6. Developing region","5. Low income","Asia","Asia","Central Asia","Europe & Central Asia",75.0697473611101,41.2246682740001,-8.60001220703123,-12.410009765625,-6.63999023437498,0.339990234375023,-6.82750549316404,6524191,"NA","NA","NA","NA",-1,6,7,87.31,22.0880110880111,4,66.5516634552,3.5,746,8,462,114.343678779484,1.22620567055747,70.8133774746938,0.072319970813498,980.136582777022,18363.8065078225,0.12739724907518,8.42267270480676,18359.898082206,0.080327448623772,972.658683321839,18377.8124174943,"2020-03-18",43
"KHM","Cambodia",16249798,67.3,71.6,31.2,64.2,92.1,6,2.5,76.6,64.1,60.7,6.2,3.4,-149999,12139,1411059,742100,4070,24542474061.2426,"NA","NA","NA",82.3,32.3,85.9,"NA",145.7,2.2,30.9,52.9,26,23.4,"NA",7896,0.4,100,6.4,21.1,28,"NA",0.7,"NA",107.8,89.5,"NA",48.3,89.1,26.2,109,3.5,25.3,"NA","NA","7. Least developed region","5. Low income","Asia","Asia","South-Eastern Asia","East Asia & Pacific",105.102627596283,12.5587694295001,26.4599853515625,27.860009765625,28.0200134277344,30.2900024414063,28.1575027465821,16718971,"NA","NA","NA","NA","NA","NA","NA","NA",9.65909090909091,50,30.2350059939269,50,122,0,119,7.29709980357045,0,7.11766292315478,0.216632198388702,120.642136458447,18340.1040031094,0.099999998746877,3.27995050282241E-13,18350.0000000863,0.100715754468434,132.465519558401,18357.116618191,"2020-01-27",94
"KNA","St. Kitts and Nevis",52441,"NA","NA","NA","NA",201.7,"NA","NA",69.2,54.4,51,"NA","NA","NA",57,"NA",14402.3,28530,1010822222.22222,"NA","NA","NA","NA","NA","NA","NA",25.5,"NA",23.1,42.3,3.3,30.8,50.1,473,4.5,"NA",13.3,"NA",12,"NA","NA","NA","NA","NA","NA","NA",100,60.6,100,23.1,35,0.808,"NA","6. Developing region","2. High income: nonOECD","North America","Americas","Caribbean","Latin America & Caribbean",-62.7494726470415,17.3174095725001,26.9200073242188,26.2400146484375,26.0100036621094,25.8699890136719,26.2600036621094,53192,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",15,0,6,281.997292825989,0,112.798917130396,0.156271550524148,15.0398960928862,18351.4695063571,0.099999998746877,3.27995050282241E-13,18350.0000000863,0.045738212484969,742.158171292807,18416.6229453334,"2020-03-25",36
"KOR","Korea, Rep.",51606633,79.7,85.7,13,72.6,529.7,5.8,1,18.5,37.7,43.1,"NA","NA",58657,279,88157579,28945400,40090,1619423701169.63,"NA","NA","NA",63,4.9,72.4,4.6,66376.2,2.6,17.4,63.4,11.7,81.5,72.3,1278,11.6,100,6.9,7.8,3.2,2.31,"NA",4.6,98.1,91.4,1,"NA",100,2.7,135,4.9,41.8,0.674,"NA","4. Emerging region: MIKT","1. High income: OECD","Asia","Asia","Eastern Asia","East Asia & Pacific",128.01105070332,36.4604512400001,1.23000488281252,1.39998779296877,2.55999145507815,7.23000488281252,3.10499725341799,51269183,630973,12307.0617294604,"cases tested",4965.43,9,32,75,83.46,4.09109730848861,30,13.7643793336288,65,10774,248,9072,210.145732183795,4.83721380931699,176.948401927918,0.11649980274399,10414.1530124303,18322.4164034558,0.050479299218482,290.406486046797,18341.7644404669,0.093060625259211,8989.28333339821,18345.2124198667,"2020-01-22",99
"KWT","Kuwait",4137309,74.7,76.5,21.5,75.9,232.2,2.7,2.1,0,46.6,51.2,"NA","NA",197600,1257,6464847,3099345,84250,140645364238.411,"NA","NA","NA",73.5,2,56.8,0.1,1003.8,5.1,8.4,0.4,17.5,100,37.8,0,25.8,100,12.2,17.4,7.9,"NA",2.2,"NA",95.7,95.4,"NA","NA",100,1.1,136,37,29.3,0.604,"NA","6. Developing region","2. High income: nonOECD","Asia","Asia","Western Asia","Middle East & North Africa",47.4177421393198,29.3143047465001,15.9399963378906,13.7499938964844,13.5200134277344,20.6899963378906,15.975,4270563,"NA","NA","NA",4460.355,-32,16,42,90.49,21.1492753623188,20,51.1561676860394,18,4024,26,1539,942.26452109476,6.08819024564209,360.374030309353,0.013173477564504,476336.572172641,18500.8928253438,0.103922934710511,46.6847778059111,18376.6660509959,0.010332492455514,541707840.036473,18628.7634009539,"2020-02-24",66
"LAO","Lao PDR",7061507,65.8,69.4,32.6,63.3,30.6,6.4,2.7,65,"NA","NA",13.5,3.3,-73518,6938,1251961.8,"NA",7090,17953786416.1431,"NA","NA","NA",78.5,62.4,95.7,"NA",86.9,"NA",10.3,82.1,16.7,35,34.8,28676,0.3,100,6.4,27,47.3,"NA","NA","NA",106,101.4,0.9,63.5,93.6,12.2,106,4.5,23,0.854,100.2,"7. Least developed region","4. Lower middle income","Asia","Asia","South-Eastern Asia","East Asia & Pacific",104.683522423417,18.2055048625,19.4900146484375,21.2799926757813,21.3900085449219,25.2900024414063,21.8625045776367,7275556,"NA","NA","NA",3059.605,-13,6,6,97.35,13.2959112959113,0,41.0026862936009,2,19,0,8,2.61148426319583,0,1.09957232134561,0.136090897074298,19.9649164940621,18350.5516725776,0.099999998746877,3.27995050282241E-13,18350.0000000863,0.111472827857528,13.9187142812677,18376.3750643203,"2020-03-24",37
"LBN","Lebanon",6848925,77.1,80.8,26.1,66.9,669.5,4.4,2.1,11.4,48.6,23.9,77.7,2.5,-150060,5639,2981937,1305800,13010,56639155555.5556,"NA","NA","NA",47,13.6,32,"NA",1776.3,5,64.3,13.4,2.6,88.6,29.4,766,3.8,100,11.2,17.9,7.4,2.25,2.9,"NA","NA","NA","NA","NA",100,45.4,114,31.3,30.5,0.73,"NA","6. Developing region","3. Upper middle income","Asia","Asia","Western Asia","Middle East & North Africa",35.9069348866109,33.8691999310001,9.7499938964844,6.98000488281252,7.8799987792969,11.5800109863281,9.04750213623049,6825442,"NA","NA","NA",4216.635,-8,24,26,89.41,15.8563869992441,20,53.9115339188072,20,725,24,150,106.220227202868,3.51625579706047,21.9765987316279,0.088789087906081,740.211505274067,18343.9091461721,0.098801552721439,24.5060166471628,18347.8555748509,0.042092808616229,278.637271658663,18369.6767962101,"2020-02-21",69
"LBR","Liberia",4818977,62.3,65.1,41.1,55.6,50,7.5,4.3,48.8,98.7,24.3,2.8,20.2,-25000,5525,"NA",128125,1130,3264000000,"NA","NA","NA",76.3,43.3,89.4,"NA",25.4,0.8,28,43.1,4.1,51.2,17.3,45877,0.2,100,2.4,17.6,70.9,"NA","NA","NA",85.1,60.6,"NA",5.9,21.5,"NA",113,8.6,17.8,0.465,"NA","7. Least developed region","5. Low income","Africa","Africa","Western Africa","Sub-Saharan Africa",-9.68519563585971,6.45567942350008,28.0700012207031,27.7300048828125,28.9200073242188,29.0400024414063,28.4400039672852,5057677,"NA","NA","NA",2868.545,-2,6,27,80.29,"NA","NA","NA","NA",141,16,45,27.8784113734428,3.16350767358216,8.89736533194983,0.0810663052586,200.328510953123,18368.7671744675,0.031049252831811,88.2760422783658,18399.9333813616,0.014693642178046,592450.702937846,18534.5138831819,"2020-03-16",45
